first_word	ensemble_pred	ensemble_conf	n_encoders_voting	gt_modal	gt_total_emits	jsd_vs_gt	similarity	argmax_matches_gt_modal	total_emit_count	is_claude	ensemble_p_HP-D	ensemble_p_HP-S	ensemble_p_LP	ensemble_p_NP	ensemble_p_HN-D	ensemble_p_HN-S	ensemble_p_LN	ensemble_p_NB	ensemble_p_HB	gt_p_HP-D	gt_p_HP-S	gt_p_LP	gt_p_NP	gt_p_HN-D	gt_p_HN-S	gt_p_LN	gt_p_NB	gt_p_HB	gemma_pred	gemma_conf	ministral_pred	ministral_conf	opus_pred	opus_conf
(=`ω´=)	HN-D	0.5019	3		0				0	False	0.0727	0.0346	0.0608	0.0632	0.5019	0.0452	0.0546	0.1066	0.0603										HN-D	0.935	NB	0.186	HN-D	0.5
(=ↀωↀ=)	HB	0.1764	3		0				1	False	0.1646	0.0667	0.1379	0.0897	0.1326	0.0264	0.0613	0.1443	0.1764										HB	0.431	NB	0.293	LP	0.305
(=⌒‿‿⌒=)	LN	0.3438	3		0				0	False	0.0766	0.0541	0.3265	0.111	0.016	0.0074	0.3438	0.0536	0.011										LN	0.95	LP	0.579	LP	0.4
(>^_^)	HP-S	0.4874	3		0				1	False	0.1276	0.4874	0.1447	0.1246	0.0054	0.0051	0.0198	0.0667	0.0187										HP-S	0.99	LP	0.271	HP-S	0.306
(>_<)	HN-S	0.4416	3	HN-S	54	0.0773	0.8884	True	54	True	0.0311	0.0285	0.0096	0.0232	0.237	0.4416	0.1407	0.0255	0.0627	0.0	0.0	0.037	0.0926	0.1296	0.6111	0.037	0.0	0.0926	HN-S	0.758	HN-D	0.3	HN-S	0.458
(>_<;)	HN-S	0.5365	3	HN-S	14	0.1907	0.7249	True	14	True	0.0184	0.0041	0.0066	0.0165	0.1184	0.5365	0.2043	0.0121	0.083	0.0	0.0	0.0	0.0714	0.0	0.9286	0.0	0.0	0.0	HN-S	0.956	LN	0.479	HN-S	0.567
(>ω<)	HP-D	0.3782	3		0				1	False	0.3782	0.2317	0.1208	0.0962	0.0212	0.015	0.0418	0.0622	0.0329										HP-D	0.728	NB	0.178	HP-S	0.346
(>ω<*	HP-S	0.4018	3		0				1	False	0.237	0.4018	0.1357	0.1063	0.0115	0.011	0.0207	0.0516	0.0246										HP-S	0.742	HP-D	0.191	HP-S	0.306
(>‿<)	HP-S	0.3576	3		0				0	False	0.1736	0.3576	0.1144	0.1022	0.0396	0.0146	0.0736	0.0764	0.0479										HP-S	0.745	LN	0.217	HP-S	0.292
(>‿◕)	HP-S	0.34	3		0				0	False	0.2261	0.34	0.0839	0.0992	0.0382	0.0134	0.051	0.1128	0.0354										HP-S	0.812	NB	0.311	HP-D	0.45
(>‿◕✨)	HP-S	0.4491	3		0				0	False	0.1689	0.4491	0.0646	0.1078	0.0784	0.01	0.042	0.0203	0.059										HP-S	0.997	HN-D	0.226	HP-D	0.379
(>‿◠)	HP-S	0.4004	3	HN-S	3	0.6031	0.1299	False	3	False	0.1917	0.4004	0.121	0.1179	0.0172	0.0085	0.0434	0.0692	0.0308	0.0	0.0	0.0	0.0	0.0	0.6667	0.3333	0.0	0.0	HP-S	0.903	LP	0.203	HP-D	0.388
(>‿◠)‿⭐	HP-S	0.4758	3		0				1	False	0.1486	0.4758	0.0631	0.133	0.0537	0.0061	0.0626	0.0274	0.0297										HP-S	1.0	NP	0.232	HP-D	0.375
(>‿◼︵◼<)	HP-S	0.2757	3		0				1	False	0.0831	0.2757	0.0528	0.0761	0.0799	0.1382	0.1505	0.0571	0.0865										HP-S	0.762	LN	0.252	HN-S	0.35
(>∀<☆)	HP-D	0.3718	3	HP-S	14	0.2992	0.5684	False	14	True	0.3718	0.2683	0.1047	0.1061	0.0061	0.003	0.0167	0.0981	0.0252	0.0	0.8571	0.0	0.1429	0.0	0.0	0.0	0.0	0.0	HP-D	0.642	NB	0.294	HP-S	0.405
(>▽<)	HP-S	0.5017	3		0				1	False	0.1352	0.5017	0.1136	0.0973	0.0091	0.0123	0.0332	0.0702	0.0273										HP-S	1.0	LP	0.222	HP-S	0.403
(>﹏<)	HN-S	0.4823	3	HN-S	30	0.0497	0.9283	True	30	True	0.0452	0.0304	0.0269	0.0327	0.1149	0.4823	0.1488	0.0423	0.0765	0.0	0.0333	0.0	0.0333	0.1333	0.5333	0.2333	0.0	0.0333	HN-S	0.877	LN	0.233	HN-S	0.518
(>﹏<｡)	HN-S	0.4139	3	HN-S	6	0.2657	0.6166	True	6	False	0.0308	0.1262	0.0359	0.0235	0.0891	0.4139	0.1836	0.0482	0.0487	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	HN-S	0.617	LN	0.251	HN-S	0.567
(O.O)	HN-S	0.485	3		0				2	False	0.062	0.0298	0.0067	0.0129	0.1116	0.485	0.0293	0.0905	0.1723										HN-S	0.934	HN-D	0.321	HB	0.364
(OO;ν)	HN-S	0.4737	3		0				1	False	0.0135	0.0107	0.0045	0.006	0.0995	0.4737	0.2439	0.0356	0.1125										HN-S	0.921	LN	0.672	HN-S	0.431
(O_O)	HB	0.3876	3	HB	8	0.1848	0.7334	True	8	False	0.0558	0.0181	0.0063	0.0121	0.1336	0.2483	0.0359	0.1022	0.3876	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.875	HB	0.652	HN-D	0.312	HB	0.341
(OwO)	NB	0.2474	3		0				1	False	0.2211	0.1577	0.0978	0.0936	0.0168	0.0369	0.0239	0.2474	0.1048										NB	0.508	HP-D	0.213	HP-S	0.286
(T-T)	LN	0.3604	3	LN	10	0.2046	0.7048	True	10	False	0.042	0.1967	0.0115	0.0525	0.0866	0.1588	0.3604	0.0416	0.0498	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.0	0.2	HP-S	0.569	LN	0.283	LN	0.792
(TT)	HP-S	0.2568	3		0				2	False	0.0688	0.2568	0.0746	0.0979	0.0384	0.1089	0.2479	0.0421	0.0646										HP-S	0.562	NP	0.193	LN	0.672
(T^T)	LN	0.2702	3		0				2	False	0.0488	0.144	0.0585	0.1958	0.0274	0.0647	0.2702	0.1575	0.033										NP	0.424	NB	0.233	LN	0.742
(T_T)	LN	0.3729	3	LN	21	0.1611	0.7676	True	21	False	0.0299	0.0074	0.0144	0.0226	0.0759	0.3336	0.3729	0.055	0.0884	0.0	0.0	0.0	0.0	0.0476	0.0952	0.8571	0.0	0.0	HN-S	0.727	LN	0.201	LN	0.792
(T▽T)	HP-S	0.3913	3		0				2	False	0.0429	0.3913	0.123	0.0619	0.0235	0.0459	0.1814	0.1005	0.0295										HP-S	0.953	LP	0.338	LN	0.525
(^	NP	0.2401	3		0				0	False	0.2175	0.0961	0.1712	0.2401	0.0053	0.0096	0.0299	0.1953	0.0349										HP-D	0.423	NB	0.343	LP	0.249
(^-^)	NB	0.3572	3	LP	48	0.0702	0.8988	False	48	False	0.0653	0.0786	0.1932	0.2319	0.0066	0.0117	0.0302	0.3572	0.0252	0.0208	0.0	0.3542	0.125	0.0208	0.0	0.0833	0.3333	0.0625	NB	0.744	NB	0.256	LP	0.405
(^.^)	NB	0.3488	3		0				2	False	0.0842	0.0809	0.2765	0.1463	0.0034	0.0069	0.0253	0.3488	0.0278										NB	0.673	NB	0.304	LP	0.395
(^^)	NB	0.4612	3	LP	3	0.3157	0.5446	False	3	False	0.0741	0.0951	0.1883	0.1541	0.0003	0.001	0.0082	0.4612	0.0177	0.0	0.0	0.6667	0.3333	0.0	0.0	0.0	0.0	0.0	NB	0.829	NB	0.489	LP	0.326
(^_-)	LN	0.2964	3		0				2	False	0.1648	0.0694	0.1221	0.1548	0.0043	0.0052	0.2964	0.1494	0.0337										LN	0.854	NB	0.384	HP-D	0.379
(^_^)	NP	0.299	3	NB	72	0.0289	0.9583	False	72	False	0.0569	0.1179	0.1719	0.299	0.0024	0.0072	0.0218	0.2986	0.0244	0.0139	0.0972	0.1111	0.3333	0.0	0.0	0.0	0.4306	0.0139	NB	0.452	NB	0.378	LP	0.352
(^_^;)	HB	0.3115	3	HB	6	0.2482	0.6419	True	6	False	0.125	0.0122	0.0358	0.0365	0.0583	0.1893	0.1806	0.0509	0.3115	0.1667	0.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.5	HB	0.588	LN	0.477	HB	0.314
(^_~)	HP-D	0.4142	3		0				1	False	0.4142	0.0892	0.147	0.1188	0.0042	0.0115	0.0347	0.1496	0.0307										HP-D	0.83	NB	0.317	HP-D	0.352
(^_−)	HP-D	0.3332	3	NB	4	0.2276	0.6716	False	4	False	0.3332	0.0782	0.14	0.2427	0.0057	0.0108	0.0224	0.1392	0.0278	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.5	0.0	HP-D	0.56	NB	0.32	HP-D	0.379
(^o^)	HP-S	0.2585	3	HP-S	18	0.1466	0.7885	True	18	True	0.163	0.2585	0.111	0.204	0.0045	0.0184	0.0352	0.1708	0.0347	0.0556	0.6667	0.0	0.2222	0.0	0.0	0.0	0.0556	0.0	HP-S	0.325	NB	0.358	HP-S	0.407
(^o^)丿	HP-S	0.4464	3		0				2	True	0.0972	0.4464	0.1198	0.1258	0.0066	0.0296	0.0214	0.1334	0.0198										HP-S	0.911	NB	0.376	HP-S	0.401
(^ω^)	HP-D	0.3993	3		0				2	True	0.3993	0.1041	0.1825	0.1188	0.0022	0.0034	0.0235	0.151	0.0152										HP-D	0.941	NB	0.388	LP	0.3
(^ω^*	HP-D	0.3699	3		0				1	False	0.3699	0.0783	0.2469	0.15	0.0024	0.0037	0.0257	0.1088	0.0145										HP-D	0.843	LP	0.304	LP	0.346
(^‿^)	LP	0.3819	3	LP	19	0.0533	0.9231	True	19	True	0.1114	0.0951	0.3819	0.2227	0.0006	0.0013	0.017	0.1639	0.0061	0.0	0.1053	0.5263	0.2105	0.0	0.0	0.0	0.1579	0.0	LP	0.395	LP	0.389	LP	0.362
(^▽^)	NP	0.2626	3	NP	34	0.0508	0.9267	True	34	True	0.2355	0.1549	0.1681	0.2626	0.0007	0.003	0.0207	0.1391	0.0155	0.1176	0.1765	0.0588	0.3235	0.0	0.0	0.0	0.2647	0.0588	HP-D	0.51	NB	0.345	HP-S	0.392
(^・ω・^)	NB	0.408	3	NP	4	0.3236	0.5332	False	4	False	0.0883	0.0383	0.2945	0.1274	0.0028	0.0037	0.0147	0.408	0.0222	0.0	0.0	0.25	0.75	0.0	0.0	0.0	0.0	0.0	NB	0.546	NB	0.483	LP	0.332
(^・・)	HP-D	0.2945	3		0				1	False	0.2945	0.0299	0.2356	0.1155	0.0107	0.0109	0.0258	0.224	0.0532										HP-D	0.748	LP	0.377	LP	0.27
(__)	NB	0.263	3		0				1	False	0.0384	0.0714	0.1771	0.0875	0.0328	0.0688	0.2021	0.263	0.0589										LP	0.351	HP-S	0.184	LN	0.373
(`_´)	LN	0.4713	3		0				0	False	0.0246	0.0089	0.0141	0.0251	0.261	0.0389	0.4713	0.0879	0.0682										LN	0.932	LN	0.408	HN-D	0.667
(`ε´)	HN-D	0.5435	3		0				1	True	0.0535	0.0204	0.0327	0.0307	0.5435	0.0542	0.0767	0.1014	0.0868										HN-D	0.994	NB	0.269	HN-D	0.573
(`д´)	HN-D	0.5385	3		0				2	False	0.0676	0.0472	0.0182	0.0307	0.5385	0.0886	0.0607	0.0863	0.0622										HN-D	0.818	NB	0.244	HN-D	0.692
(`⇂´)	LN	0.3371	3		0				1	False	0.0381	0.0126	0.0111	0.0116	0.2679	0.0411	0.3371	0.1665	0.1139										LN	0.699	NB	0.397	HN-D	0.563
(`⇧´)	HN-D	0.2305	3		0				2	False	0.2011	0.1497	0.0142	0.0329	0.2305	0.037	0.0837	0.0829	0.1681										HP-S	0.434	HB	0.389	HN-D	0.649
(`∀´)	HN-D	0.3849	3		0				0	False	0.2089	0.0351	0.0305	0.0432	0.3849	0.037	0.0403	0.134	0.086										HN-D	0.726	NB	0.291	HN-D	0.4
(`⊿´)	HN-D	0.4608	3		0				1	False	0.0446	0.0065	0.1175	0.0086	0.4608	0.0572	0.1134	0.1411	0.0503										HN-D	0.686	NB	0.353	HN-D	0.687
(`⌒´)	LN	0.3591	3	HP-S	7	0.5849	0.1562	False	7	False	0.0439	0.0046	0.0438	0.0098	0.2383	0.039	0.3591	0.133	0.1285	0.0	0.8571	0.0	0.0	0.0	0.0	0.0	0.0	0.1429	LN	0.965	NB	0.351	HN-D	0.68
(`⌒´メ)	LN	0.3453	3	HP-S	5	0.6631	0.0434	False	5	False	0.0484	0.0042	0.0311	0.0069	0.2924	0.0245	0.3453	0.1306	0.1165	0.0	0.6	0.0	0.4	0.0	0.0	0.0	0.0	0.0	LN	0.963	NB	0.374	HN-D	0.826
(`◇´)	HN-D	0.4049	3		0				1	False	0.0421	0.023	0.0496	0.0384	0.4049	0.1218	0.0875	0.1548	0.0779										HN-D	0.701	NB	0.402	HN-D	0.494
(`へ´)	HN-D	0.2615	3		0				0	False	0.1193	0.0204	0.0629	0.0338	0.2615	0.0387	0.176	0.1641	0.1233										LN	0.297	NB	0.316	HN-D	0.586
(`・ω・´)	HB	0.3054	3		0				2	True	0.1191	0.0547	0.0556	0.0936	0.0722	0.0295	0.0412	0.2286	0.3054										HB	0.759	NB	0.378	NB	0.299
(`・∀・´)	HB	0.294	3		0				0	False	0.2293	0.1157	0.0704	0.0846	0.0165	0.0129	0.0314	0.1452	0.294										HB	0.761	NB	0.35	HP-D	0.394
(o>ω<o)	HP-S	0.5641	3		0				1	False	0.127	0.5641	0.0924	0.0952	0.0169	0.0261	0.0307	0.0194	0.0282										HP-S	0.972	HP-S	0.356	HP-S	0.365
(o^.^o)	NB	0.386	3		0				1	False	0.0703	0.1419	0.2486	0.1182	0.0025	0.0048	0.0142	0.386	0.0135										NB	0.982	LP	0.416	LP	0.327
(o^^o)	NB	0.3233	3	NB	12	0.1028	0.8518	True	12	False	0.0835	0.1604	0.211	0.1534	0.0078	0.0146	0.0263	0.3233	0.0197	0.0833	0.0833	0.25	0.0	0.0	0.0	0.0	0.5833	0.0	NB	0.825	HP-S	0.243	LP	0.401
(o^_^o)	NB	0.3426	3	NB	8	0.0904	0.8696	True	8	False	0.0907	0.1072	0.2409	0.1591	0.0071	0.0159	0.0173	0.3426	0.0191	0.125	0.0	0.125	0.125	0.0	0.0	0.0	0.625	0.0	NB	0.87	LP	0.383	LP	0.337
(o^▽^o)	HP-S	0.3377	3	HP-S	3	0.1397	0.7985	True	3	False	0.109	0.3377	0.1623	0.226	0.0036	0.0074	0.0161	0.1219	0.0161	0.0	0.3333	0.0	0.3333	0.0	0.0	0.0	0.3333	0.0	HP-S	0.491	NP	0.256	HP-S	0.359
(o_O)	HB	0.4041	3		0				2	False	0.0616	0.0223	0.0036	0.0137	0.1124	0.2957	0.0305	0.0562	0.4041										HB	0.578	HN-D	0.295	HB	0.478
(o__o)	HN-S	0.3651	3		0				1	False	0.0358	0.0095	0.0107	0.0104	0.1064	0.3651	0.102	0.1454	0.2147										HN-S	0.513	HN-S	0.399	NB	0.366
(o_o)	HN-S	0.4475	3	NB	41	0.2628	0.6209	False	41	False	0.0632	0.0123	0.0112	0.0204	0.0786	0.4475	0.063	0.1363	0.1675	0.0732	0.0	0.0	0.0488	0.0	0.0	0.0976	0.5366	0.2439	HN-S	0.975	HN-D	0.206	NB	0.37
