first_word	n_prompts_HP-D	n_prompts_HP-S	n_prompts_LP	n_prompts_NP	n_prompts_HN-D	n_prompts_HN-S	n_prompts_LN	n_prompts_NB	n_prompts_HB	mean_log_prob_HP-D	mean_log_prob_HP-S	mean_log_prob_LP	mean_log_prob_NP	mean_log_prob_HN-D	mean_log_prob_HN-S	mean_log_prob_LN	mean_log_prob_NB	mean_log_prob_HB	softmax_HP-D	softmax_HP-S	softmax_LP	softmax_NP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	softmax_HB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP-D	total_emit_HP-S	total_emit_LP	total_emit_NP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	total_emit_HB	argmax_matches_empirical
(;д;)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-1.8971223182009371	-2.5257251443458797	-1.0498282673194026	-2.1202642028609797	-3.5065335645016917	-3.9119820066376043	0.050001	0.08	0.12	0.15	0.08	0.349998	0.12	0.030001	0.020001	HN-S	0.349998	1	False	1	HN-S	0	0	0	0	0	1	0	0	0	True
(;′⌒`)	0	0	0	0	0	0	0	0	0	-2.995721273713489	-1.8971223182009371	-0.5978441825349555	-1.6094419124061006	-3.9119820066376048	-3.9119820066376048	-4.605079190947259	-13.815519557923775	-13.815519557923775	0.050001	0.15	0.549996	0.199999	0.020001	0.020001	0.010001	1e-06	1e-06	LP	0.549996	1	False	23	HN-S	0	0	0	0	4	14	5	0	0	False
(;⁎_⁎)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-2.9957212737134884	-1.3862993610873908	-1.0498282673194026	-2.9957212737134884	-2.5257251443458797	-3.9119820066376043	-3.5065335645016917	-3.9119820066376043	0.15	0.050001	0.249999	0.349998	0.050001	0.08	0.020001	0.030001	0.020001	NP	0.349998	1	False	1	HN-S	0	0	0	0	0	1	0	0	0	False
(;⌒_⌒)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-1.0498282673194026	-1.2729711043501937	-2.9957212737134884	-2.5257251443458797	-2.5257251443458797	-3.9119820066376043	-4.605079190947258	0.050001	0.08	0.349998	0.279998	0.050001	0.08	0.08	0.020001	0.010001	LP	0.349998	1	False	0		0	0	0	0	0	0	0	0	0	False
(;╹⌓╹)	0	0	0	0	0	0	0	0	0	-2.995721273713489	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-4.605079190947259	-3.9119820066376048	-13.815519557923775	-13.815519557923775	-13.815519557923775	0.050001	0.15	0.649995	0.12	0.010001	0.020001	1e-06	1e-06	1e-06	LP	0.649995	1	True	1	LN	0	0	0	0	0	0	1	0	0	False
(;へ:)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-1.8971223182009371	-1.3862993610873908	-1.6094419124061006	-2.3025840930035453	-3.5065335645016917	-3.9119820066376043	0.050001	0.08	0.12	0.15	0.249999	0.199999	0.1	0.030001	0.020001	HN-D	0.249999	1	False	1	HP-S	0	1	0	0	0	0	0	0	0	False
(;゚д゚)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.9957212737134884	-2.3025840930035453	-1.3862993610873908	-1.0498282673194026	-2.9957212737134884	-2.9957212737134884	-3.9119820066376043	0.050001	0.08	0.050001	0.1	0.249999	0.349998	0.050001	0.050001	0.020001	HN-S	0.349998	1	True	1	HN-S	0	0	0	0	0	1	0	0	0	True
(;・`O・´)	0	0	0	0	0	0	0	0	0	-0.4307903775915995	-1.8971223182009371	-2.995721273713489	-2.995721273713489	-2.995721273713489	-3.9119820066376048	-4.605079190947259	-4.605079190947259	-4.605079190947259	0.649995	0.15	0.050001	0.050001	0.050001	0.020001	0.010001	0.010001	0.010001	HP-D	0.649995	1	False	1	HN-S	0	0	0	0	0	1	0	0	0	False
(;・∀・)	0	0	0	0	0	0	0	0	0	-0.4307903775915993	-1.3862993610873908	-2.9957212737134884	-3.9119820066376043	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376043	-4.605079190947258	0.649995	0.249999	0.050001	0.020001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-D	0.649995	1	True	2	HN-D	0	0	0	0	1	1	0	0	0	False
(;一_一)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-3.9119820066376043	-2.5257251443458797	-2.1202642028609797	-1.8971223182009371	-1.3862993610873908	-1.2729711043501937	-3.218859825140196	-4.605079190947258	0.050001	0.020001	0.08	0.12	0.15	0.249999	0.279998	0.040001	0.010001	LN	0.279998	1	False	2	HN-S	0	0	0	0	0	1	1	0	0	False
(;﹏;)	0	0	0	0	0	0	0	0	0	-3.9119820066376043	-3.5065335645016917	-2.5257251443458797	-2.9957212737134884	-2.3025840930035453	-1.3862993610873908	-0.8675071867146769	-3.5065335645016917	-3.9119820066376043	0.020001	0.030001	0.08	0.050001	0.1	0.249999	0.419997	0.030001	0.020001	LN	0.419997	1	False	1	HN-S	0	0	0	0	0	1	0	0	0	False
(;ﾟдﾟ)	0	0	0	0	0	0	0	0	0	-3.178041330519818	-2.0794423750072664	-3.178041330519818	-2.484904149809875	-2.0794423750072664	-1.232148324125732	-3.178041330519818	-3.178041330519818	-1.5686194178937205	0.041667	0.125	0.041667	0.083334	0.125	0.291665	0.041667	0.041667	0.208333	HN-S	0.291665	1	True	1	HN-S	0	0	0	0	0	1	0	0	0	True
(;￣д￣)	0	0	0	0	0	0	0	0	0	-0.4307903775915995	-1.8971223182009371	-2.995721273713489	-2.995721273713489	-2.995721273713489	-3.9119820066376048	-3.9119820066376048	-4.605079190947259	-13.815519557923775	0.649995	0.15	0.050001	0.050001	0.050001	0.020001	0.020001	0.010001	1e-06	HP-D	0.649995	1	False	0		0	0	0	0	0	0	0	0	0	False
(;￣□￣)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-1.8971223182009371	-1.0498282673194026	-1.7148018725113032	-2.9957212737134884	-3.9119820066376043	-13.815519557923775	0.050001	0.08	0.12	0.15	0.349998	0.179999	0.050001	0.020001	1e-06	HN-D	0.349998	1	False	0		0	0	0	0	0	0	0	0	0	False
(=^-^=)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.5978441825349555	-1.6094419124061006	-2.52572514434588	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376048	-13.815519557923775	0.15	0.549996	0.199999	0.08	1e-06	1e-06	1e-06	0.020001	1e-06	HP-S	0.549996	1	False	10	HP-D	2	0	2	0	0	1	2	1	2	False
(=^-ω-^=)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-1.0498282673194026	-1.0498282673194026	-2.3025840930035453	-13.815519557923775	-13.815519557923775	-13.815519557923775	-2.9957212737134884	-13.815519557923775	0.15	0.349998	0.349998	0.1	1e-06	1e-06	1e-06	0.050001	1e-06	HP-S	0.349998	1	False	34	NB	5	4	3	3	3	4	3	6	3	False
(=^-ω^-=)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-1.0498282673194026	-1.0498282673194026	-2.3025840930035453	-13.815519557923775	-13.815519557923775	-13.815519557923775	-2.9957212737134884	-13.815519557923775	0.15	0.349998	0.349998	0.1	1e-06	1e-06	1e-06	0.050001	1e-06	HP-S	0.349998	1	False	3	HP-D	1	0	1	0	0	0	0	1	0	False
(=^_^=)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-1.8971223182009371	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-13.815519557923775	-13.815519557923775	0.15	0.649995	0.15	0.050001	1e-06	1e-06	1e-06	1e-06	1e-06	HP-S	0.649995	1	False	2	LP	0	0	1	0	0	0	1	0	0	False
(=^‿^=)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-1.8971223182009371	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-13.815519557923775	-13.815519557923775	0.15	0.649995	0.15	0.050001	1e-06	1e-06	1e-06	1e-06	1e-06	HP-S	0.649995	1	False	0		0	0	0	0	0	0	0	0	0	False
(=^・^=)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.7985144739575187	-1.3862993610873908	-2.3025840930035453	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.5065335645016917	-3.9119820066376043	0.15	0.449997	0.249999	0.1	1e-06	1e-06	1e-06	0.030001	0.020001	HP-S	0.449997	1	False	1	LP	0	0	1	0	0	0	0	0	0	False
(=^・ω・^=)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.7985144739575187	-1.3862993610873908	-2.3025840930035453	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.5065335645016917	-3.9119820066376043	0.15	0.449997	0.249999	0.1	1e-06	1e-06	1e-06	0.030001	0.020001	HP-S	0.449997	1	False	27	LP	4	0	13	2	1	0	1	5	1	False
(=^・ｪ・^=)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-1.8971223182009371	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-13.815519557923775	-13.815519557923775	0.15	0.649995	0.15	0.050001	1e-06	1e-06	1e-06	1e-06	1e-06	HP-S	0.649995	1	False	1	HB	0	0	0	0	0	0	0	0	1	False
(=`ω´=)	0	0	0	0	0	0	0	0	0	-0.3285116780436118	-1.8971223182009371	-2.9957212737134884	-3.9119820066376043	-3.9119820066376043	-4.605079190947258	-4.605079190947258	-4.605079190947258	-4.605079190947258	0.719995	0.15	0.050001	0.020001	0.020001	0.010001	0.010001	0.010001	0.010001	HP-D	0.719995	1	False	0		0	0	0	0	0	0	0	0	0	False
(=ↀωↀ=)	0	0	0	0	0	0	0	0	0	-0.4307903775915995	-1.6094419124061006	-2.52572514434588	-3.9119820066376048	-3.9119820066376048	-4.605079190947259	-4.605079190947259	-4.605079190947259	-13.815519557923775	0.649995	0.199999	0.08	0.020001	0.020001	0.010001	0.010001	0.010001	1e-06	HP-D	0.649995	1	False	1	LP	0	0	1	0	0	0	0	0	0	False
(=⌒‿‿⌒=)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.5978441825349555	-1.6094419124061006	-2.52572514434588	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376048	-13.815519557923775	0.15	0.549996	0.199999	0.08	1e-06	1e-06	1e-06	0.020001	1e-06	HP-S	0.549996	1	False	0		0	0	0	0	0	0	0	0	0	False
(>^_^)	0	0	0	0	0	0	0	0	0	-0.28768973907883666	-1.8971223182009371	-2.9957212737134884	-3.9119820066376043	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376043	-4.605079190947258	0.749994	0.15	0.050001	0.020001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-D	0.749994	1	False	1	LP	0	0	1	0	0	0	0	0	0	False
(>_<)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-1.8971223182009371	-2.3025840930035453	-1.8971223182009371	-1.6094419124061006	-1.3862993610873908	-2.9957212737134884	-3.5065335645016917	-3.9119820066376043	0.050001	0.15	0.1	0.15	0.199999	0.249999	0.050001	0.030001	0.020001	HN-S	0.249999	1	True	54	HN-S	0	0	2	5	7	33	2	0	5	True
(>_<;)	0	0	0	0	0	0	0	0	0	-2.9957212737134884	-2.5257251443458797	-2.1202642028609797	-1.8971223182009371	-1.3862993610873908	-1.2729711043501937	-3.218859825140196	-3.9119820066376043	-4.605079190947258	0.050001	0.08	0.12	0.15	0.249999	0.279998	0.040001	0.020001	0.010001	HN-S	0.279998	1	True	14	HN-S	0	0	0	1	0	13	0	0	0	True
(>ω<)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-2.995721273713489	-13.815519557923775	-3.9119820066376048	-13.815519557923775	-4.605079190947259	-13.815519557923775	0.15	0.649995	0.12	0.050001	1e-06	0.020001	1e-06	0.010001	1e-06	HP-S	0.649995	1	False	1	NP	0	0	0	1	0	0	0	0	0	False
(>ω<*	0	0	0	0	0	0	0	0	0	-0.3285116780436118	-1.7148018725113032	-2.9957212737134884	-3.9119820066376043	-4.605079190947258	-4.605079190947258	-13.815519557923775	-4.605079190947258	-13.815519557923775	0.719995	0.179999	0.050001	0.020001	0.010001	0.010001	1e-06	0.010001	1e-06	HP-D	0.719995	1	False	1	HP-S	0	1	0	0	0	0	0	0	0	False
(>‿<)	0	0	0	0	0	0	0	0	0	-0.28768973907883666	-1.8971223182009371	-2.9957212737134884	-3.9119820066376043	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376043	-4.605079190947258	0.749994	0.15	0.050001	0.020001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-D	0.749994	1	False	0		0	0	0	0	0	0	0	0	0	False
(>‿◕)	0	0	0	0	0	0	0	0	0	-0.3285116780436118	-1.7148018725113032	-2.9957212737134884	-3.9119820066376043	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376043	-4.605079190947258	0.719995	0.179999	0.050001	0.020001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-D	0.719995	1	False	0		0	0	0	0	0	0	0	0	0	False
(>‿◕✨)	0	0	0	0	0	0	0	0	0	-1.8971223182009371	-0.4307903775915995	-2.12026420286098	-2.995721273713489	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376048	-4.605079190947259	0.15	0.649995	0.12	0.050001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-S	0.649995	1	False	0		0	0	0	0	0	0	0	0	0	False
(>‿◠)	0	0	0	0	0	0	0	0	0	-0.4307903775915995	-1.6094419124061006	-2.3025840930035457	-3.9119820066376048	-4.605079190947259	-13.815519557923775	-13.815519557923775	-4.605079190947259	-4.605079190947259	0.649995	0.199999	0.1	0.020001	0.010001	1e-06	1e-06	0.010001	0.010001	HP-D	0.649995	1	False	3	HN-S	0	0	0	0	0	2	1	0	0	False
(>‿◠)‿⭐	0	0	0	0	0	0	0	0	0	-0.3285116780436118	-1.7148018725113032	-2.9957212737134884	-3.9119820066376043	-13.815519557923775	-13.815519557923775	-13.815519557923775	-3.9119820066376043	-4.605079190947258	0.719995	0.179999	0.050001	0.020001	1e-06	1e-06	1e-06	0.020001	0.010001	HP-D	0.719995	1	False	1	NP	0	0	0	1	0	0	0	0	0	False
(>‿◼︵◼<)	0	0	0	0	0	0	0	0	0	-0.3285116780436118	-1.8971223182009371	-2.5257251443458797	-3.9119820066376043	-4.605079190947258	-4.605079190947258	-13.815519557923775	-4.605079190947258	-13.815519557923775	0.719995	0.15	0.08	0.020001	0.010001	0.010001	1e-06	0.010001	1e-06	HP-D	0.719995	1	False	1	LP	0	0	1	0	0	0	0	0	0	False
(>∀<☆)	0	0	0	0	0	0	0	0	0	-0.28768973907883666	-1.8971223182009371	-2.9957212737134884	-3.9119820066376043	-4.605079190947258	-4.605079190947258	-13.815519557923775	-4.605079190947258	-13.815519557923775	0.749994	0.15	0.050001	0.020001	0.010001	0.010001	1e-06	0.010001	1e-06	HP-D	0.749994	1	True	10	HP-S	0	10	0	0	0	0	0	0	0	False
